id,text,HS,TR,AG,caps,sntmt,nohs
201,hurray save many way user user lock build wall theta boycott if l boycott nike,1,0,0,0.0,0.3615484943881348,0.0
202,would young fight age man vast majority one escape war fight like woman child elderly majority refugee actually refugee economic migrant try get europe i,1,0,0,0.0,0.1329355143721145,0.0
203,user illegal dump kid border like roadkill refuse unite hope get amnesty free education welfare illegal f a mile belong together country taxpayer dimes cam theta amnesty send,1,0,0,0.0178571428571428,0.0340487417045136,0.0
206,user legal illegal build wall,1,0,0,0.0178571428571428,0.8153645657074997,0.0
212,user user illegal dump kid get welfare aid school rip taxpayer deport malls top blow illegal abuse taxpayer immigration via user,1,0,1,0.0,0.0774245319466408,0.0
216,lithuania romania aid cia torture top european union court rule eu court joke silent europe destroy force islamist immigration i,1,0,1,0.0178571428571428,0.0747166791453982,0.0
217,world bank report next num year many refugee leave homeland specially africa feed europe able shoot protect homeland destroy african,1,0,1,0.0,0.2220439297018947,0.0
218,rich african country take african migrants rich muslim country take muslim migrants rich latin american country take latin migrants but white country suppose accept,1,0,0,0.0,0.8807541963152845,0.0
226,user user user discuss joe biden black box american success white genocide immigration invasion jesse watters waterworld,1,0,1,0.0,0.7853274577826047,0.0
228,eu hail migrant plan road hell czech republic refuse involvement,1,0,1,0.0,0.2117641181416218,0.0
230,num spread num state feed num num illegal theta recipient tie num murders user user user no theta amnesty deport mall build wall amnesty create illegal migration always always,1,0,1,0.0178571428571428,0.1919065309325093,0.0
234,real truth cologne nordic country one trust refugee well life me annum num u,1,0,0,0.0,0.8630528622627169,0.0
236,watch french mayor declare muslim migrant welcome free speech time user,1,0,1,0.0,0.1802226475493698,0.0
239,two child wash barbwire beach another scum photographer another attempt get eu take migrant enough propagate,1,0,0,0.0,0.3429946881573984,0.0
241,watch muslim migrant terrorize swedish people include elderly people stand way free speech time user,1,0,0,0.0,0.4093370817878425,0.0
243,islam europe documentary arab african immigrant destroy i via user,1,0,1,0.0,0.4985457879621133,0.0
246,user passenger harbinger tell infect many me as le stop invasion build wall make america great,1,0,1,0.0357142857142857,0.3869722234664683,0.0
247,street uk look like num year exit stop immigration,1,0,0,0.0,0.5372580539354337,0.0
250,user look forward make arab world rich got pay build wall,1,0,0,0.0178571428571428,0.85512988554797,0.0
256,let build wall build wall,1,0,1,0.0,0.4985457879621133,0.0
261,user i toronto last year long look like and the sad situation canadian good people immigration start deportation right homeland,1,0,1,0.0,0.4735733676839869,0.0
262,democratic patriot plus call you ur representative demand kavanaugh confirm esp election user user user satur they motivation open num user user user make america great build wall vote red walk away,1,0,1,0.0357142857142857,0.8711262752441995,0.0
264,sweden migrant rape num year old grandmother christmas eve i allow remain sweden deport mall sweden rapist via user,1,0,0,0.0178571428571428,0.0612777059836755,0.0
269,user well say the niel speech smack slinky divide conquer victimize one group call bigot racist fascist etc make america great make america great potus trump news vote red theta walk away make america great usa back blu,1,0,1,0.125,0.8374285514954025,0.0
270,user user refugee illegal immigrant whether one document num difficult slum people beggars how valid document except name voter list nu st,1,0,0,0.0,0.1340387136615096,0.0
273,iid say electrify water would kill wildlife deport mall,1,0,1,0.0,0.0873031801289518,0.0
275,good news ie illegal immigrants bangladeshi must go you ur evidence stay assay,1,0,0,0.0,0.4093370817878425,0.0
276,user deport illegal alien kid back name world nation american citizen taxpayer tired rob name world nation pay illegal alien kid make america great build wall theta roam ne,1,0,0,0.0178571428571428,0.0887573973740636,0.0
280,many lice find viennese school refugee bring gift rescue cost numi person,1,0,0,0.0,0.8671647868868261,0.0
282,user donate flight deport invader back homeland stop invasion deport mall,1,0,1,0.0,0.3501153381162216,0.0
284,user fake news new stephen miller rule public charge rule part immigration law since num taxpayer give welfare immigrant import world poor veteran trump make america great,1,0,1,0.0178571428571428,0.3289539699287329,0.0
286,user pal save delhi become slum city hub illegal migrants pl take la help remove encroachments eviction im,1,0,0,0.0535714285714285,0.6581085215464468,0.0
291,user need improve country school neighborhood hospital prison kick illegal build wall build wall,1,0,0,0.0,0.7193862275301224,0.0
296,user user user allow happen i child kidnapper molester miller need go,1,0,1,0.2678571428571428,0.171898507456661,0.0
297,thing wash away problem big red wave november vote red deport mall illegal criminal,1,0,1,0.0178571428571428,0.0503460039342146,0.0
299,immigrant hang shoot period animal,1,1,1,0.0,0.4985457879621133,0.0
302,soon finish us turkey secret er action fighter num open syrian passport use stop immigration europe,1,0,0,0.0357142857142857,0.4217731465046605,0.0
303,user user user boy sure hate separate kid liberalism mental disorder kid get stay deport mall end family separation stop catch release,1,0,1,0.0,0.1193461049436561,0.0
307,user user real talk eye gouge refugee,1,0,1,0.0,0.4985457879621133,0.0
308,wake spain stop illegal immigration send back,1,0,1,0.0,0.1227559936563321,0.0
309,user long take build wall,1,0,1,0.0,0.4985457879621133,0.0
313,theater treasonous individual pay sort globalist user user lock build wall boycott nike boycott if l theta,1,0,0,0.0,0.0342994688157398,0.0
314,good news illegal alien claim fake asylum deport record number stay immigration vote red trump make america great deport mall via user,1,0,0,0.0178571428571428,0.5743155209746614,0.0
317,good morning patriot ex let everything mind walk away build wall make america great choose life walk away red wave num midterm vote red tiny life stake,1,0,0,0.0535714285714285,0.8949954962329307,0.0
319,german government pay num week vacation refugee go home muslim immigration german government pay german taxpayer pay german government rob native german finance islamization germany,1,0,0,0.0,0.3182729949904982,0.0
322,great article refugee crisis europe drive question european make stop refer humanitarian drama forcibly displace ability reach europe,1,0,0,0.0,0.6690402235959079,0.0
